,City,Cloudiness (%),Country,Date,Humidity (%),Latitude,Longitude,Max Temp (F),Win Speed (mph)
264,Griffith,80,AU,1514096688,30,-34.29,146.06,88.48,11.03
265,Yeniseysk,88,RU,1514096689,88,58.45,92.17,11.85,3.87
266,Blenheim,32,CA,1514096689,82,42.33,-82.0,17.65,9.01
267,Bandrele,40,YT,1514095200,74,-12.91,45.19,86.0,16.11
268,Hualmay,36,PE,1514096690,95,-11.1,-77.61,60.18,2.75
269,Kaduqli,0,SD,1514096690,73,11.01,29.72,70.93,3.04
270,San Ramon,8,PE,1514096691,95,-14.26,-75.65,57.39,2.53
271,Port Hedland,8,AU,1514095200,63,-20.31,118.58,91.4,16.11
272,Udachnyy,44,RU,1514096692,49,66.42,112.4,-30.37,3.31
273,Pinellas Park,20,US,1514095980,100,27.84,-82.7,68.0,6.62
274,Harker Heights,1,US,1514095080,80,31.08,-97.66,39.2,4.7
275,Safranbolu,88,TR,1514096693,100,41.25,32.69,32.55,0.96
276,Khandbari,80,NP,1514096693,73,27.38,87.21,38.08,0.18
277,Harwich,40,US,1514096100,86,41.69,-70.08,44.6,9.17
278,Fort Walton Beach,90,US,1514095740,87,30.41,-86.62,60.8,13.87
279,Oswego,1,US,1514096100,92,37.17,-95.11,28.4,9.08
280,Tocopilla,20,CL,1514096695,98,-22.09,-70.2,56.85,4.05
281,Sibu,75,MY,1514091600,66,2.29,111.83,87.8,6.93
282,Tilichiki,0,RU,1514096696,86,60.47,166.1,-40.27,3.31
283,Boueni,40,YT,1514095200,74,-12.9,45.08,86.0,16.11
284,Santa Helena de Goias,56,BR,1514096697,96,-17.81,-50.6,68.55,1.86
285,Ben Tre,32,VN,1514096697,64,10.24,106.37,87.58,8.01
286,Mikhaylovka,40,KZ,1514093400,92,54.89,69.46,12.2,6.71
287,Margate,92,ZA,1514096698,100,-30.86,30.37,68.55,5.77
288,Okhotsk,0,RU,1514096699,100,59.36,143.24,-25.42,8.41
289,San Policarpo,32,PH,1514096699,100,12.18,125.51,81.06,5.73
290,Mariental,0,NA,1514095200,14,-24.63,17.97,78.8,8.05
291,Dikson,88,RU,1514096700,100,73.51,80.55,4.29,26.35
292,Hay River,20,CA,1514095200,82,60.82,-115.79,-18.41,6.93
293,Orodara,0,BF,1514091600,36,10.98,-4.92,62.6,8.05
294,Puerto Penasco,0,MX,1514096701,100,31.32,-113.53,57.16,10.87
295,Bredasdorp,8,ZA,1514095200,56,-34.53,20.04,68.0,5.82
296,Bitung,20,ID,1514095200,62,1.44,125.19,89.6,9.17
297,Makat,64,KZ,1514096703,93,47.65,53.35,20.94,7.29
298,Kerrville,1,US,1514094900,86,30.05,-99.14,37.4,8.41
299,Makakilo City,75,US,1514095020,68,21.35,-158.09,75.2,4.7
300,Talnakh,76,RU,1514096704,85,69.49,88.39,-2.65,15.79
301,Hamamatsu,20,JP,1514096704,58,34.71,137.73,56.26,3.98
302,Colares,75,PT,1514095200,93,38.8,-9.45,44.6,8.05
303,Jiancheng,24,CN,1514091600,54,30.39,104.55,57.2,2.24
304,Surt,48,LY,1514096706,100,31.21,16.59,58.65,15.84
305,Kem,92,RU,1514096706,97,64.96,34.58,22.33,8.08
306,Sterling,75,US,1514095560,80,39.0,-77.4,46.4,8.05
307,Nabire,64,ID,1514096707,85,-3.36,135.5,77.68,1.52
308,Naze,75,JP,1514091600,94,28.37,129.48,71.6,21.92
309,Hanyang,0,CN,1514096709,43,32.14,105.51,49.38,2.98
310,Lakes Entrance,64,AU,1514096709,89,-37.88,147.99,62.97,12.66
311,San Matias,20,BO,1514096709,88,-16.36,-58.4,74.58,8.08
312,Port Elizabeth,0,ZA,1514095200,68,-33.92,25.57,69.8,1.12
313,Honningsvag,32,NO,1514096711,100,70.98,25.97,21.16,5.99
314,Veraval,0,IN,1514096711,60,20.9,70.37,78.45,8.08
315,Jumla,0,NP,1514096711,49,29.28,82.18,38.31,1.3
316,Pevek,24,RU,1514096712,90,69.7,170.27,-10.93,26.98
317,Chuy,0,UY,1514096743,83,-33.69,-53.46,63.55,19.6
318,Santa Rosa,92,BO,1514096743,98,-20.7,-64.83,52.71,1.7
319,Alyangula,56,AU,1514096744,100,-13.85,136.42,86.64,10.36
320,Soyo,100,AO,1514096744,90,-6.13,12.37,76.6,3.6
321,Nador,75,MA,1514095200,100,35.17,-2.93,53.6,3.36
322,New Norfolk,40,AU,1514095200,41,-42.78,147.06,60.8,16.11
323,Sioux Lookout,90,CA,1514095200,77,50.1,-91.92,-0.41,5.82
324,Alushta,0,UA,1514096746,100,44.68,34.41,33.63,8.52
325,Apatity,80,RU,1514096747,82,67.57,33.4,6.58,2.37
326,Turukhansk,80,RU,1514096747,79,65.8,87.96,4.51,18.3
327,Aklavik,5,CA,1514095200,66,68.22,-135.01,12.2,10.29
328,Sayville,1,US,1514094960,81,40.74,-73.08,42.8,14.99
329,Sergeyevka,48,KZ,1514096748,80,53.88,67.42,8.43,7.34
330,Chivilcoy,0,AR,1514096748,65,-34.9,-60.02,57.39,8.01
331,Barranca,80,PE,1514096749,100,-10.75,-77.76,64.0,7.78
332,Temozon,20,MX,1514096749,82,20.8,-88.22,71.83,3.6
333,Yeppoon,0,AU,1514095200,36,-23.13,150.74,91.4,8.05
334,Bubaque,8,GW,1514096750,100,11.28,-15.83,71.83,22.39
335,Machachi,75,EC,1514095200,87,-0.51,-78.57,53.6,2.24
336,Ust-Kuyga,56,RU,1514096751,78,70.0,135.55,-25.96,6.89
337,Labuhan,36,ID,1514096751,64,-2.54,115.51,87.72,4.21
338,Barras,24,BR,1514096752,97,-4.24,-42.29,72.01,2.98
339,Aksay,80,KZ,1514096752,90,51.17,53.01,15.58,8.12
340,Ocos,40,GT,1514094000,100,14.51,-92.19,71.6,3.71
341,New Castle,40,US,1514094960,92,41.0,-80.35,32.0,3.36
342,Carnarvon,0,AU,1514096753,73,-24.87,113.63,82.59,20.65
343,Mosbach,90,DE,1514092800,93,49.35,9.15,41.0,14.99
344,Itaituba,92,BR,1514096754,95,-4.26,-55.99,73.86,2.75
345,Namtsy,36,RU,1514096755,0,62.72,129.66,-46.07,3.04
346,Avarua,40,CK,1514095200,73,-21.21,-159.78,75.2,3.36
347,Hovd,24,MN,1514096756,64,48.01,91.64,5.55,2.48
348,Sucre,92,BO,1514096756,97,-19.05,-65.26,48.25,2.37
349,Leh,80,IN,1514096756,76,34.16,77.58,-8.09,1.19
350,Tambovka,88,RU,1514096757,92,47.32,47.38,19.0,3.49
351,Dickson,90,US,1514094960,86,36.08,-87.39,39.2,5.82
352,Richards Bay,36,ZA,1514096758,93,-28.77,32.06,72.73,8.52
353,Hotaka,0,JP,1514091600,40,36.34,137.88,51.8,18.34
354,Flin Flon,44,CA,1514096758,68,54.77,-101.88,-10.07,3.98
355,Waseca,1,US,1514096100,84,44.08,-93.51,10.4,4.7
356,Berlevag,20,NO,1514096759,100,70.86,29.09,7.62,4.09
357,Grand Gaube,75,MU,1514095200,65,-20.01,57.66,82.4,6.93
358,Vaini,90,TO,1514095200,100,-21.2,-175.2,75.2,22.73
359,Kozhva,80,RU,1514096761,91,65.11,57.05,20.8,5.06
360,Quatre Cocos,75,MU,1514095200,65,-20.21,57.76,82.4,6.93
361,Forio,0,IT,1514094900,62,40.73,13.86,51.8,4.27
362,Banquero,44,PH,1514096762,100,17.02,121.78,78.58,3.38
363,Havoysund,56,NO,1514094600,86,71.0,24.66,26.6,3.36
364,Ucluelet,68,CA,1514096763,99,48.94,-125.55,19.86,1.97
365,Guiratinga,92,BR,1514096764,97,-16.35,-53.76,69.9,2.71
366,Pokaran,0,IN,1514096764,62,26.93,71.92,68.37,4.72
367,Chikwawa,88,MW,1514096764,91,-16.03,34.79,76.51,4.21
368,Bluff,8,NZ,1514096765,74,-46.6,168.33,68.95,17.07
369,Ylivieska,80,FI,1514096765,79,64.07,24.53,23.05,8.63
370,Kodiak,90,US,1514094780,79,39.95,-94.76,21.2,9.17
371,Monywa,0,MM,1514096766,78,22.12,95.13,76.56,6.55
372,Shenzhen,20,CN,1514095200,53,22.54,114.05,75.2,11.41
373,Yacuiba,92,BO,1514096751,96,-22.04,-63.68,66.39,13.89
374,Dori,0,BF,1514096589,38,14.03,-0.03,57.84,11.25
375,Norfolk,90,US,1514095140,76,36.85,-76.29,57.2,8.05
376,Yerbogachen,0,RU,1514096798,32,61.28,108.01,-22.22,3.76
377,Mantua,0,CU,1514096798,92,22.29,-84.28,64.41,3.6
378,Dicabisagan,88,PH,1514096799,100,17.08,122.42,77.91,6.29
379,Te Anau,56,NZ,1514096800,45,-45.41,167.72,64.18,12.93
380,Rognan,90,NO,1514094600,97,67.1,15.4,33.8,25.28
381,Petropavlovsk-Kamchatskiy,0,RU,1514095200,77,53.05,158.65,3.2,2.24
382,Arman,0,RU,1514095200,73,59.7,150.17,-36.41,3.76
383,Blagoyevo,88,RU,1514096802,86,63.37,47.92,20.98,4.83
384,Torrington,20,US,1514094780,77,42.06,-104.18,10.4,5.82
385,Isla Mujeres,40,MX,1514094000,88,21.23,-86.73,73.4,3.36
386,Sao Jose da Coroa Grande,92,BR,1514096803,100,-8.9,-35.15,71.56,2.26
387,Benicarlo,0,ES,1514096804,100,40.42,0.43,55.18,6.11
388,Chiredzi,92,ZW,1514096804,100,-21.05,31.67,71.97,5.73
389,Yerkoy,76,TR,1514096805,90,39.64,34.47,27.73,7.07
390,Mayumba,76,GA,1514096805,100,-3.44,10.65,76.83,1.86
391,Srednekolymsk,68,RU,1514096806,70,67.46,153.71,-10.25,8.23
392,Tres Arroyos,0,AR,1514096806,76,-38.38,-60.28,46.41,4.38
393,Toowoomba,40,AU,1514091600,32,-27.56,151.95,93.2,4.7
394,Badarpur,0,IN,1514096807,82,24.87,92.56,75.7,3.87
395,Reconquista,0,AR,1514096808,80,-29.14,-59.64,66.88,16.96
396,Lazaro Cardenas,8,MX,1514096808,67,28.39,-105.62,34.66,2.53
397,Osvaldo Cruz,92,BR,1514096808,98,-21.8,-50.88,70.35,3.09
398,Kasane,75,BW,1514095200,94,-17.8,25.16,69.8,4.7
399,Diu,0,IN,1514096810,39,20.71,70.98,81.28,8.23
400,Pavlovskiy,40,RU,1514095200,94,45.07,37.77,32.0,4.47
401,Brits,75,ZA,1514095200,73,-25.63,27.78,71.6,12.75
402,Omsukchan,44,RU,1514096811,57,62.53,155.8,-34.55,2.48
403,San Mateo,44,PH,1514096811,100,16.88,121.59,78.58,3.38
404,San Jose,0,GT,1514096812,90,16.98,-89.9,70.66,4.88
405,Albox,0,ES,1514093400,76,37.39,-2.15,51.8,5.82
406,Nemuro,75,JP,1514091600,69,43.32,145.57,33.8,2.24
407,Marsh Harbour,20,BS,1514096813,100,26.54,-77.06,74.08,8.34
408,Zhigansk,32,RU,1514096813,87,66.77,123.37,-40.0,2.82
409,Constitucion,20,MX,1514096814,85,23.99,-104.67,46.81,3.87
410,Bambous Virieux,75,MU,1514095200,65,-20.34,57.76,82.4,6.93
411,Zhezkazgan,90,KZ,1514095200,100,47.8,67.71,30.2,13.42
412,Zorritos,88,PE,1514096815,99,-3.68,-80.68,72.15,2.59
413,Meulaboh,100,ID,1514096815,100,4.14,96.13,78.58,5.73
414,Kaa-Khem,32,RU,1514096816,76,51.7,94.56,0.91,2.59
415,Surab,0,PK,1514096816,74,28.49,66.26,53.07,7.07
416,Fare,56,PF,1514096817,98,-16.7,-151.02,83.4,14.16
417,Saint George,75,BM,1514094900,82,32.38,-64.68,68.0,5.82
418,Jinchang,0,CN,1514096817,36,38.52,102.19,33.81,2.75
419,Kenai,1,US,1514094960,68,60.55,-151.26,26.6,13.87
420,Palauig,20,PH,1514096818,71,15.44,119.9,87.18,3.71
421,Alekseyevsk,36,RU,1514096819,47,57.84,108.35,-2.42,4.09
422,Nizhniy Kuranakh,64,RU,1514096819,57,58.84,125.49,-12.82,3.49
423,Kruisfontein,0,ZA,1514096820,82,-34.0,24.73,66.03,1.97
424,Pathein,0,MM,1514096820,57,16.78,94.73,84.84,9.91
425,Atasu,92,KZ,1514096821,89,48.68,71.64,27.24,13.04
426,Ati,0,TD,1514096821,33,13.21,18.34,67.56,15.95
427,Beyneu,80,KZ,1514096821,95,45.32,55.19,25.93,4.99
428,Husavik,90,IS,1514091600,86,66.04,-17.34,28.4,6.93
429,Betul,12,IN,1514096852,52,21.92,77.9,77.37,4.38
430,Sola,76,VU,1514096853,100,-13.88,167.55,78.45,1.86
431,Port Blair,0,IN,1514096853,99,11.67,92.75,82.86,13.94
432,Lompoc,1,US,1514095080,81,34.64,-120.46,48.2,5.84
433,Taman,40,RU,1514095200,100,45.22,36.72,32.0,4.47
434,Scarborough,88,GB,1514094600,87,54.28,-0.41,51.8,13.87
435,Kavaratti,8,IN,1514096855,99,10.57,72.64,83.31,8.23
436,Aguilar de la Frontera,0,ES,1514093400,93,37.51,-4.66,37.4,2.75
437,Moose Factory,90,CA,1514095200,77,51.26,-80.61,-0.41,8.05
438,Damietta,0,EG,1514091600,87,31.42,31.81,59.0,18.34
439,Mana,80,GF,1514096857,94,5.67,-53.78,74.94,2.53
440,Wuchang,64,CN,1514096857,88,44.93,127.16,8.11,7.78
441,Quelimane,75,MZ,1514095200,94,-17.88,36.89,77.0,8.05
442,Hibbing,1,US,1514096100,84,47.43,-92.94,8.6,5.82
443,Pau,75,FR,1514095200,86,43.3,-0.37,42.8,2.24
444,Ilorin,0,NG,1514096860,94,8.5,4.55,67.38,7.23
445,Vila Franca do Campo,40,PT,1514095200,77,37.72,-25.43,64.4,8.05
446,Maralal,12,KE,1514096861,57,1.1,36.7,65.94,3.49
447,Mastic Beach,1,US,1514094960,81,40.77,-72.85,42.8,12.75
448,Port Moresby,0,PG,1514096862,95,-9.47,147.16,85.2,14.94
449,Padang,44,ID,1514096863,100,-0.92,100.36,80.16,3.6
450,Fortuna,1,US,1514094900,93,40.6,-124.16,44.6,8.05
451,Doha,0,QA,1514095200,25,25.29,51.53,73.4,4.7
452,Santiago,8,PE,1514096864,95,-14.19,-75.71,57.39,2.53
453,Castro,92,CL,1514096864,100,-42.48,-73.76,48.88,5.28
454,Barrow,90,US,1514096100,62,39.51,-90.4,28.4,6.93
455,Leningradskiy,80,RU,1514096865,91,69.38,178.42,19.0,9.13
456,Namibe,56,AO,1514096865,100,-15.19,12.15,68.82,3.2
457,Vaitape,32,PF,1514096866,98,-16.52,-151.75,83.58,14.9
458,Enterprise,1,US,1514094960,76,45.43,-117.28,-7.61,2.71
459,Novochernorechenskiy,92,RU,1514096867,84,56.27,91.08,18.1,3.38
460,Nouadhibou,44,MR,1514091600,87,20.93,-17.03,57.2,20.8
461,Shelburne,90,CA,1514095200,73,44.08,-80.2,26.6,5.82
462,Kaeo,92,NZ,1514096868,88,-35.1,173.78,64.63,9.53
463,Aracuai,44,BR,1514096868,82,-16.85,-42.07,70.71,4.83
464,Teya,92,RU,1514096869,76,60.37,92.63,4.65,3.2
465,Midland,90,CA,1514095440,79,44.75,-79.89,26.6,5.82
466,Ust-Kut,44,RU,1514096869,60,56.78,105.75,0.6,3.71
467,Quesnel,90,CA,1514095200,83,52.98,-122.49,-5.81,2.26
468,Puerto Montt,90,CL,1514095200,87,-41.47,-72.94,46.4,4.7
469,Lumby,1,CA,1514095200,84,50.25,-118.97,1.4,2.24
470,Finnsnes,88,NO,1514094600,92,69.23,17.98,30.2,1.12
471,Kashi,24,CN,1514091600,79,39.45,75.98,24.8,4.47
472,Kirovskiy,68,RU,1514096872,81,45.09,133.51,24.72,1.48
473,Grindavik,75,IS,1514093400,92,63.84,-22.43,32.0,11.41
474,Slavyanka,88,RU,1514096873,100,42.86,131.39,32.5,4.61
475,Choa Saidan Shah,56,PK,1514096874,73,32.72,72.98,55.77,4.27
476,Dhaka,0,BD,1514095200,65,23.71,90.41,78.8,4.7
477,Roanoke Rapids,90,US,1514096100,72,36.46,-77.65,62.6,5.82
478,Rawson,36,AR,1514096875,50,-43.3,-65.11,52.66,8.79
479,Taltal,0,CL,1514096875,93,-25.41,-70.49,48.48,0.29
480,Butembo,12,CD,1514096875,90,0.12,29.29,68.19,1.03
481,Winneba,0,GH,1514091600,64,5.35,-0.62,73.4,9.17
482,Yarada,36,IN,1514096906,100,17.65,83.27,75.88,11.03
483,Beidao,0,CN,1514096907,59,34.57,105.89,34.21,3.71
484,Kyaikto,0,MM,1514096907,53,17.31,97.01,88.53,2.82
485,Luau,92,AO,1514096908,95,-10.71,22.22,68.01,3.83
486,Kudat,75,MY,1514091600,79,6.89,116.84,84.2,6.93
487,Lima,36,PE,1514096821,82,-12.06,-77.04,56.4,1.97
488,Victoria,75,SC,1514095200,74,-4.62,55.45,82.4,5.82
489,Mehamn,12,NO,1514096909,100,71.03,27.85,7.66,4.09
490,Caconda,24,AO,1514096909,88,-13.73,15.06,59.91,4.32
491,Diamantino,68,BR,1514096910,95,-14.4,-56.44,72.42,4.83
492,Northam,0,AU,1514095200,19,-31.65,116.67,95.0,14.99
493,Beecher,1,US,1514096100,67,41.34,-87.62,26.6,3.36
494,Peniche,75,PT,1514095200,93,39.36,-9.38,48.2,8.05
495,Penzance,88,GB,1514091000,93,50.12,-5.53,48.2,16.11
496,Lebu,8,CL,1514096913,97,-37.62,-73.65,53.83,18.86
497,Salamiyah,80,SY,1514096913,93,35.01,37.05,52.21,6.51
498,Yako,0,BF,1514096913,34,12.96,-2.26,57.93,11.43
499,Viedma,0,AR,1514096914,37,-40.81,-62.99,56.71,14.34
500,Murmansk,20,RU,1514095200,68,68.97,33.08,-14.81,2.82
501,Taoudenni,0,ML,1514096915,44,22.68,-3.98,45.33,16.28
502,Verkhnevilyuysk,36,RU,1514096915,62,63.45,120.31,-34.15,4.32
503,Neiafu,75,TO,1514095200,94,-18.65,-173.98,78.8,13.6
504,Shebunino,88,RU,1514096917,88,57.66,40.04,23.23,21.88
505,Zhireken,12,RU,1514096917,73,52.82,117.29,-4.36,1.86
506,Calama,0,CL,1514095200,22,-22.46,-68.93,46.4,16.11
507,Eureka,1,US,1514094900,93,40.8,-124.16,44.6,3.36
508,Inongo,36,CD,1514096918,96,-1.93,18.29,74.67,2.59
509,Toora-Khem,24,RU,1514096919,76,52.47,96.11,11.71,2.86
510,Alice Springs,0,AU,1514095200,10,-23.7,133.88,109.4,8.05
511,Boende,32,CD,1514096919,94,-0.28,20.88,73.9,3.09
512,Oskarshamn,8,SE,1514094600,93,57.26,16.44,37.4,5.82
513,Anamur,80,TR,1514096921,100,36.08,32.84,55.68,14.67
514,Quechultenango,8,MX,1514096921,98,17.41,-99.24,52.98,1.59
515,Butaritari,68,KI,1514096922,98,3.07,172.79,83.4,17.36
516,Ampanihy,0,MG,1514096922,61,-24.69,44.75,80.97,4.21
517,Contamana,8,PE,1514096923,89,-7.35,-75.01,74.04,2.82
518,Hokitika,44,NZ,1514096923,95,-42.72,170.96,64.05,6.85
519,Amazar,12,RU,1514096924,74,53.86,120.88,-8.41,2.98
520,Kalabo,36,ZM,1514096924,100,-15.0,22.67,69.72,5.99
521,Kamenka,76,RU,1514096925,90,53.19,44.05,20.98,14.83
522,Maraa,76,BR,1514096925,95,-1.83,-65.37,75.12,3.04
523,Krasnyy Chikoy,64,RU,1514096926,59,50.36,108.75,14.68,5.28
524,Damara,75,CF,1514095200,94,4.96,18.7,75.2,3.09
525,Tucurui,80,BR,1514096927,96,-3.77,-49.67,74.94,2.26
526,Isangel,0,VU,1514096928,100,-19.55,169.27,77.95,14.67
527,Davila,20,PH,1514091600,74,18.47,120.58,86.0,6.93
528,Port-Gentil,40,GA,1514095200,94,-0.72,8.78,77.0,2.24
529,Ponta Delgada,40,PT,1514095200,77,37.73,-25.67,64.4,8.05
